season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers,imdb_rating,total_votes,episode_synopsis
1,1,1,Days Gone Bye,Frank Darabont,Frank Darabont,2010-10-31,5350000,9.2,27463,"Deputy Sheriff Rick Grimes awakens from a coma, and searches for his family in a world ravaged by the undead."
1,2,2,Guts,Michelle MacLaren,Frank Darabont,2010-11-07,4710000,8.6,17278,"In Atlanta, Rick is rescued by a group of survivors, but they soon find themselves trapped inside a department store surrounded by walkers."
1,3,3,Tell It to the Frogs,Gwyneth Horder-Payton,Charles H. Eglee and Jack LoGiudice and Frank Darabont,2010-11-14,5070000,8.2,15815,"Rick is reunited with Lori and Carl but soon decides - along with some of the other survivors - to return to the rooftop and rescue Merle. Meanwhile, tensions run high between the other survivors at the camp."
1,4,4,Vatos,Johan Renck,Robert Kirkman,2010-11-21,4750000,8.5,15449,"Rick, Glenn, Daryl and T-Dog come across a group of seemingly hostile survivors whilst searching for Merle. Back at camp, Jim begins behaving erratically."
1,5,5,Wildfire,Ernest Dickerson,Glen Mazzara,2010-11-28,5560000,8.1,14856,"After the attack on the camp, Rick leads the survivors to the C.D.C., in the hope that they can cure an infected Jim."
1,6,6,TS-19,Guy Ferland,Adam Fierro and Frank Darabont,2010-12-05,5970000,8.6,16184,The survivors gain access to the C.D.C. in the hope of a safe haven.
2,1,7,What Lies Ahead,Ernest Dickerson and Gwyneth Horder-Payton,Ardeth Bey and Robert Kirkman,2011-10-16,7260000,8.5,14515,The group's plan to head for Fort Benning is put on hold when Sophia goes missing.
2,2,8,Bloodletting,Ernest Dickerson,Glen Mazzara,2011-10-23,6700000,7.9,13189,"After Carl is accidentally shot, the group are brought to a family living on a nearby farm. Shane makes a dangerous trip in search of medical supplies."
2,3,9,Save the Last One,Phil Abraham,Scott M. Gimple,2011-10-30,6100000,8.3,13155,"As Carl's condition continues to deteriorate, Shane and Otis try to dodge the walkers as they head back to the farm."
2,4,10,Cherokee Rose,Billy Gierhart,Evan Reilly,2011-11-06,6290000,7.5,12768,"With Carl recovering, the group puts their focus on finding Sophia. Glenn and Maggie go for a trip to find supplies."
